amendment,filename,compound_name,polarity,area
Amm,210916_Poo_TruePooAmm-noIS-neg-Full_1.mzML,"Taurine, 2H4",neg,131858.92356507663
Amm,210916_Poo_TruePooAmm-noIS-neg-Full_2.mzML,"Taurine, 2H4",neg,136586.39401515122
Amm,210916_Poo_TruePooAmm-noIS-neg-Full_3.mzML,"Taurine, 2H4",neg,157022.6613764902
Amm,210916_Poo_TruePooAmm-noIS-neg-Full_4.mzML,"Taurine, 2H4",neg,178852.53526268207
Amm,210916_Poo_TruePooAmm-noIS-neg-Full_5.mzML,"Taurine, 2H4",neg,207712.25544986682
Amm,210916_Poo_TruePooAmm-noIS-neg-Half_1.mzML,"Taurine, 2H4",neg,69468.6393293008
Amm,210916_Poo_TruePooAmm-noIS-neg-Half_2.mzML,"Taurine, 2H4",neg,68665.20963349713
Amm,210916_Poo_TruePooAmm-noIS-neg-Half_3.mzML,"Taurine, 2H4",neg,82995.5934458177
Amm,210916_Poo_TruePooAmm-noIS-neg-Half_4.mzML,"Taurine, 2H4",neg,97859.35505335983
Amm,210916_Poo_TruePooAmm-noIS-neg-Half_5.mzML,"Taurine, 2H4",neg,120304.1894311551
Amm,210916_Poo_TruePooAmm-noIS-pos-Full_1.mzML,"L-Phenylalanine, 2H8",pos,31249.554401145157
Amm,210916_Poo_TruePooAmm-noIS-pos-Full_1.mzML,"Taurine, 2H4",pos,37751.70077366856
Amm,210916_Poo_TruePooAmm-noIS-pos-Full_2.mzML,"L-Phenylalanine, 2H8",pos,36498.00137757769
Amm,210916_Poo_TruePooAmm-noIS-pos-Full_2.mzML,"Taurine, 2H4",pos,43501.117023399165
Amm,210916_Poo_TruePooAmm-noIS-pos-Full_3.mzML,"L-Phenylalanine, 2H8",pos,45272.595309671044
Amm,210916_Poo_TruePooAmm-noIS-pos-Full_3.mzML,"Taurine, 2H4",pos,53221.61433775615
Amm,210916_Poo_TruePooAmm-noIS-pos-Full_4.mzML,"L-Phenylalanine, 2H8",pos,53933.20133831926
Amm,210916_Poo_TruePooAmm-noIS-pos-Full_4.mzML,"Taurine, 2H4",pos,66689.63658656902
Amm,210916_Poo_TruePooAmm-noIS-pos-Full_5.mzML,"L-Phenylalanine, 2H8",pos,56538.295894534785
