shortname,compound_name,iso_name,area,conc_nm_in_env
Amm-Deep-Eve-T0-A,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N0",58757.20157817934,0.00425240432983094
Amm-Deep-Eve-T0-A,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N1",0,0
Amm-Deep-Eve-T0-B,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N0",65784.08665351385,0.0046421394576315
Amm-Deep-Eve-T0-B,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N1",0,0
Amm-Deep-Eve-T0-C,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N0",20752.762384244732,0.00168210163484794
Amm-Deep-Eve-T0-C,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N1",0,0
Amm-Deep-Eve-T1-A,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N0",51449.1644547972,0.00389408178577245
Amm-Deep-Eve-T1-A,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N1",0,0
Amm-Deep-Eve-T1-B,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N0",39394.417271761326,0.00317078906719893
Amm-Deep-Eve-T1-B,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N1",0,0
Amm-Deep-Eve-T1-C,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N0",44716.65690311372,0.00404327224796422
Amm-Deep-Eve-T1-C,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N1",0,0
Amm-Deep-Eve-T10-A,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N0",54196.28695844997,0.0040003644114334
Amm-Deep-Eve-T10-A,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N1",0,0
Amm-Deep-Eve-T10-B,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N0",47058.369593523894,0.00334924900729431
Amm-Deep-Eve-T10-B,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N1",0,0
Amm-Deep-Eve-T10-C,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N0",77567.52176664757,0.00523440954282527
Amm-Deep-Eve-T10-C,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N1",0,0
Amm-Deep-Eve-T26-A,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N0",50480.0922133744,0.0034620431847581
Amm-Deep-Eve-T26-A,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N1",0,0
Amm-Deep-Eve-T26-B,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N0",71189.5276750495,0.00515937092447231
Amm-Deep-Eve-T26-B,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N1",0,0
Amm-Deep-Eve-T26-C,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N0",37164.46879875331,0.00332588220049511
Amm-Deep-Eve-T26-C,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N1",0,0
Amm-Deep-Eve-T3-A,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N0",58534.96238095971,0.00473432326752399
Amm-Deep-Eve-T3-A,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N1",0,0
Amm-Deep-Eve-T3-B,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N0",91214.31730154254,0.00615372728304667
Amm-Deep-Eve-T3-B,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N1",0,0
Amm-Deep-Eve-T3-C,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N0",42167.760220159056,0.00261526363463501
Amm-Deep-Eve-T3-C,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N1",0,0
Amm-Deep-Morn-T0-A,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N0",86820.81586600884,0.006065258367366
Amm-Deep-Morn-T0-A,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N1",0,0
Amm-Deep-Morn-T0-B,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N0",41352.275039148175,0.00337667985852647
Amm-Deep-Morn-T0-B,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N1",0,0
Amm-Deep-Morn-T0-C,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N0",46205.91316076214,0.00382223430082238
Amm-Deep-Morn-T0-C,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N1",0,0
Amm-Deep-Morn-T1-A,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N0",36908.86956346004,0.00278981221126389
Amm-Deep-Morn-T1-A,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N1",0,0
Amm-Deep-Morn-T1-B,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N0",61448.68693211415,0.00466738722046662
Amm-Deep-Morn-T1-B,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N1",0,0
Amm-Deep-Morn-T1-C,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N0",80712.41434924708,0.00593797141755136
Amm-Deep-Morn-T1-C,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N1",0,0
Amm-Deep-Morn-T10-A,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N0",37967.971653700726,0.00270666042670823
Amm-Deep-Morn-T10-A,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N1",0,0
Amm-Deep-Morn-T10-B,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N0",49968.56197202741,0.00393133958396509
Amm-Deep-Morn-T10-B,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N1",0,0
Amm-Deep-Morn-T10-C,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N0",50081.32344394088,0.00409063227423523
Amm-Deep-Morn-T10-C,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N1",0,0
Amm-Deep-Morn-T26-A,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N0",39354.72773256356,0.00293073769549679
Amm-Deep-Morn-T26-A,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N1",0,0
Amm-Deep-Morn-T26-B,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N0",40664.08957588533,0.00294708916558274
Amm-Deep-Morn-T26-B,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N1",0,0
Amm-Deep-Morn-T26-C,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N0",33330.46048003688,0.00295653366163158
Amm-Deep-Morn-T26-C,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N1",0,0
Amm-Deep-Morn-T3-A,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N0",68767.40754090095,0.00537151452296839
Amm-Deep-Morn-T3-A,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N1",0,0
Amm-Deep-Morn-T3-B,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N0",81876.3675110354,0.00566083607269741
Amm-Deep-Morn-T3-B,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N1",0,0
Amm-Deep-Morn-T3-C,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N0",63788.88904767908,0.00484090315234008
Amm-Deep-Morn-T3-C,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N1",0,0
Amm-Surf-Eve-T0-A,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N0",242647.95707390184,0.01509604645877675
Amm-Surf-Eve-T0-A,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N1",0,0
Amm-Surf-Eve-T0-B,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N0",198182.0838784367,0.01254507774910118
Amm-Surf-Eve-T0-B,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N1",0,0
Amm-Surf-Eve-T0-C,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N0",126345.23056585914,0.00912339409731994
Amm-Surf-Eve-T0-C,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N1",0,0
Amm-Surf-Eve-T1-A,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N0",209872.5936579493,0.01352245212597354
Amm-Surf-Eve-T1-A,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N1",0,0
Amm-Surf-Eve-T1-B,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N0",174837.89679080606,0.01222082124525138
Amm-Surf-Eve-T1-B,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N1",0,0
Amm-Surf-Eve-T1-C,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N0",241073.52392797655,0.01542697241561857
Amm-Surf-Eve-T1-C,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N1",0,0
Amm-Surf-Eve-T10-A,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N0",252753.921770652,0.01763956305364455
Amm-Surf-Eve-T10-A,(3-Carboxypropyl)trimethylammonium,"(3-Carboxypropyl)trimethylammonium, 13C0, 15N1",591.5603553988805,4.1284685578740466e-5
