compound_name,amendment,rf
Urea,Nit,17988.606704647198
Urea,Amm,18258.69463718921
Urea,GMP,30361.187056513318
Urea,Arg,39863.7191650828
Glycine,Nit,43580.83162430662
Glycine,Amm,25346.81940080644
Glycine,GMP,35541.789267303844
Glycine,Arg,44158.11756651211
Trimethylamine N-oxide,Nit,1551800.762817076
Trimethylamine N-oxide,Amm,1420349.6751662688
Trimethylamine N-oxide,GMP,2044477.1061966172
Trimethylamine N-oxide,Arg,2298544.6976408325
Oxalic acid,Amm,39742.38829115535
Oxalic acid,GMP,1327641.5026647174
Oxalic acid,Arg,39571.8923087407
beta-Alanine,Nit,399716.4692509586
beta-Alanine,Amm,242531.31777220115
beta-Alanine,GMP,339576.38019868644
beta-Alanine,Arg,447230.74495160126
L-Alanine,Nit,182778.3485156515
L-Alanine,Amm,131032.21856925107
L-Alanine,GMP,173667.13720409517
L-Alanine,Arg,186590.8094432402
Sarcosine,Nit,559551.7482697034
Sarcosine,Amm,361419.0162892748
Sarcosine,GMP,476153.2908646432
Sarcosine,Arg,586968.1177010827
Choline,Nit,3624296.0060769077
Choline,Amm,3396416.379567793
Choline,GMP,4760451.059933434
Choline,Arg,4895636.3145107115
L-Serine,Nit,119241.38355948265
L-Serine,Amm,58553.300666586525
L-Serine,GMP,91238.7611809778
L-Serine,Arg,125146.8746816683
Uracil,Nit,309047.9435907734
Uracil,Amm,301057.5432142279
Uracil,GMP,289195.86311789043
Uracil,Arg,371462.4854353137
Cytosine,Nit,4329080.862033453
Cytosine,Amm,4273834.02050212
Cytosine,GMP,4316718.428651339
Cytosine,Arg,4330864.005436536
Creatinine,Nit,5754058.435935106
Creatinine,Amm,6434266.583979383
Creatinine,GMP,7337066.308855897
Creatinine,Arg,7282612.567575082
L-Proline,Nit,1539438.495131777
L-Proline,Amm,1239440.3721655516
L-Proline,GMP,1577942.2640305753
L-Proline,Arg,1297183.183655112
Succinic acid,Nit,145332.28799919825
Succinic acid,Amm,86679.27526552467
Succinic acid,GMP,137466.02325538133
Succinic acid,Arg,204661.72840426414
Glycine betaine,Nit,6834823.080907754
Glycine betaine,Amm,6323591.82035714
Glycine betaine,GMP,9031455.338807764
Glycine betaine,Arg,8296245.8836709745
L-Valine,Nit,196441.15760108083
L-Valine,Amm,266458.8730995766
L-Valine,GMP,554540.466022387
L-Valine,Arg,481395.1376075995
L-Threonine/L-Homoserine,Nit,605031.9657148741
