amendment,filename,polarity,compound_name,area
Nit,210813_Poo_TruePooNit-wIS-Full_1.mzML,pos,Urea,135499.44875271482
Nit,210813_Poo_TruePooNit-wIS-Full_2.mzML,pos,Urea,201952.74194232834
Nit,210813_Poo_TruePooNit-wIS-Full_3.mzML,pos,Urea,67226.15183505506
Nit,210813_Poo_TruePooNit-wIS-Full_4.mzML,pos,Urea,63141.26399493158
Nit,210813_Poo_TruePooNit-wIS-Full_5.mzML,pos,Urea,82866.51718446956
Nit,210813_Poo_TruePooNit-wIS-Half_1.mzML,pos,Urea,61439.9180511172
Nit,210813_Poo_TruePooNit-wIS-Half_2.mzML,pos,Urea,112940.51178570776
Nit,210813_Poo_TruePooNit-wIS-Half_3.mzML,pos,Urea,53647.43633826329
Nit,210813_Poo_TruePooNit-wIS-Half_4.mzML,pos,Urea,41343.99516606174
Nit,210813_Poo_TruePooNit-wIS-Half_5.mzML,pos,Urea,46664.3592280285
Nit,210813_Smp_Nit-Deep-Eve-T0-A-wIS.mzML,pos,Urea,158294.10868195113
Nit,210813_Smp_Nit-Deep-Eve-T0-B-wIS.mzML,pos,Urea,134423.52219189992
Nit,210813_Smp_Nit-Deep-Eve-T0-C-wIS.mzML,pos,Urea,184778.988246818
Nit,210813_Smp_Nit-Deep-Eve-T1-A-wIS.mzML,pos,Urea,180473.60188386712
Nit,210813_Smp_Nit-Deep-Eve-T1-B-wIS.mzML,pos,Urea,347674.3382635642
Nit,210813_Smp_Nit-Deep-Eve-T1-C-wIS.mzML,pos,Urea,91089.87931319642
Nit,210813_Smp_Nit-Deep-Eve-T10-A-wIS.mzML,pos,Urea,59904.34444895541
Nit,210813_Smp_Nit-Deep-Eve-T10-B-wIS.mzML,pos,Urea,93068.74459841126
Nit,210813_Smp_Nit-Deep-Eve-T10-C-wIS.mzML,pos,Urea,214010.03196799906
Nit,210813_Smp_Nit-Deep-Eve-T26-A-wIS.mzML,pos,Urea,91893.50007204557
Nit,210813_Smp_Nit-Deep-Eve-T26-B-wIS.mzML,pos,Urea,131546.3800033735
Nit,210813_Smp_Nit-Deep-Eve-T26-C-wIS.mzML,pos,Urea,171371.83080857107
Nit,210813_Smp_Nit-Deep-Eve-T3-A-wIS.mzML,pos,Urea,77930.35898680231
Nit,210813_Smp_Nit-Deep-Eve-T3-B-wIS.mzML,pos,Urea,209570.21595545672
Nit,210813_Smp_Nit-Deep-Eve-T3-C-wIS.mzML,pos,Urea,58454.47603815788
Nit,210813_Smp_Nit-Deep-Morn-T0-A-wIS.mzML,pos,Urea,252825.91636931238
Nit,210813_Smp_Nit-Deep-Morn-T0-B-wIS.mzML,pos,Urea,83170.43094848361
Nit,210813_Smp_Nit-Deep-Morn-T0-C-wIS.mzML,pos,Urea,60037.18297009489
Nit,210813_Smp_Nit-Deep-Morn-T1-A-wIS.mzML,pos,Urea,60634.91765324263
Nit,210813_Smp_Nit-Deep-Morn-T1-B-wIS.mzML,pos,Urea,61977.14291243123
Nit,210813_Smp_Nit-Deep-Morn-T1-C-wIS.mzML,pos,Urea,114290.36793285544
Nit,210813_Smp_Nit-Deep-Morn-T10-A-wIS.mzML,pos,Urea,102451.51557698123
Nit,210813_Smp_Nit-Deep-Morn-T10-B-wIS.mzML,pos,Urea,96551.71694791957
Nit,210813_Smp_Nit-Deep-Morn-T10-C-wIS.mzML,pos,Urea,75812.95636242893
Nit,210813_Smp_Nit-Deep-Morn-T26-A-wIS.mzML,pos,Urea,121988.49399866865
Nit,210813_Smp_Nit-Deep-Morn-T26-B-wIS.mzML,pos,Urea,81600.80211072805
Nit,210813_Smp_Nit-Deep-Morn-T26-C-wIS.mzML,pos,Urea,48862.42801113281
Nit,210813_Smp_Nit-Deep-Morn-T3-A-wIS.mzML,pos,Urea,220239.8508768274
Nit,210813_Smp_Nit-Deep-Morn-T3-B-wIS.mzML,pos,Urea,64303.57900869527
Nit,210813_Smp_Nit-Deep-Morn-T3-C-wIS.mzML,pos,Urea,36882.45414157894
Nit,210813_Smp_Nit-Surf-Eve-T0-A-wIS.mzML,pos,Urea,75442.10716790314
Nit,210813_Smp_Nit-Surf-Eve-T0-B-wIS.mzML,pos,Urea,60140.953498042574
Nit,210813_Smp_Nit-Surf-Eve-T0-C-wIS.mzML,pos,Urea,79926.89980684953
Nit,210813_Smp_Nit-Surf-Eve-T1-A-wIS.mzML,pos,Urea,89881.32149092591
Nit,210813_Smp_Nit-Surf-Eve-T1-B-wIS.mzML,pos,Urea,31398.757078609022
Nit,210813_Smp_Nit-Surf-Eve-T1-C-wIS.mzML,pos,Urea,41876.05558495743
Nit,210813_Smp_Nit-Surf-Eve-T10-A-wIS.mzML,pos,Urea,117565.08536398278
Nit,210813_Smp_Nit-Surf-Eve-T10-B-wIS.mzML,pos,Urea,105485.03002394075
Nit,210813_Smp_Nit-Surf-Eve-T10-C-wIS.mzML,pos,Urea,147897.0624258265
Nit,210813_Smp_Nit-Surf-Eve-T26-A-wIS.mzML,pos,Urea,143929.9036120806
Nit,210813_Smp_Nit-Surf-Eve-T26-B-wIS.mzML,pos,Urea,145147.44052662043
Nit,210813_Smp_Nit-Surf-Eve-T26-C-wIS.mzML,pos,Urea,88064.41114281754
Nit,210813_Smp_Nit-Surf-Eve-T3-A-wIS.mzML,pos,Urea,156299.298209521
Nit,210813_Smp_Nit-Surf-Eve-T3-B-wIS.mzML,pos,Urea,66257.50839755512
Nit,210813_Smp_Nit-Surf-Eve-T3-C-wIS.mzML,pos,Urea,61102.30871353441
Nit,210813_Smp_Nit-Surf-Morn-T0-A-wIS.mzML,pos,Urea,69719.87436501562
Nit,210813_Smp_Nit-Surf-Morn-T0-B-wIS.mzML,pos,Urea,41880.23145198008
Nit,210813_Smp_Nit-Surf-Morn-T0-C-wIS.mzML,pos,Urea,72034.23485563736
Nit,210813_Smp_Nit-Surf-Morn-T1-A-wIS.mzML,pos,Urea,47596.38405122381
Nit,210813_Smp_Nit-Surf-Morn-T1-B-wIS.mzML,pos,Urea,122145.49851036562
Nit,210813_Smp_Nit-Surf-Morn-T1-C-wIS.mzML,pos,Urea,72596.88638911014
Nit,210813_Smp_Nit-Surf-Morn-T10-A-wIS.mzML,pos,Urea,48728.03333772733
Nit,210813_Smp_Nit-Surf-Morn-T10-B-wIS.mzML,pos,Urea,67124.63106536411
Nit,210813_Smp_Nit-Surf-Morn-T10-C-wIS.mzML,pos,Urea,43132.666796091384
Nit,210813_Smp_Nit-Surf-Morn-T26-A-wIS.mzML,pos,Urea,73009.8214339863
Nit,210813_Smp_Nit-Surf-Morn-T26-B-wIS.mzML,pos,Urea,49568.02094000044
Nit,210813_Smp_Nit-Surf-Morn-T26-C-wIS.mzML,pos,Urea,73868.85984015114
Nit,210813_Smp_Nit-Surf-Morn-T3-A-wIS.mzML,pos,Urea,84745.68373683357
Nit,210813_Smp_Nit-Surf-Morn-T3-B-wIS.mzML,pos,Urea,78168.21828152816
Nit,210813_Smp_Nit-Surf-Morn-T3-C-wIS.mzML,pos,Urea,71612.61160597746
Nit,210813_Smp_Nit_Blk_A-wIS.mzML,pos,Urea,123075.9349150609
Nit,210813_Std_4uMStdsMix1InH2O_1.mzML,pos,Urea,550146.7633827043
Nit,210813_Std_4uMStdsMix1InH2O_2.mzML,pos,Urea,419398.65144076303
Nit,210813_Std_4uMStdsMix1InMatrix_1.mzML,pos,Urea,709841.2481764435
Nit,210813_Std_4uMStdsMix1InMatrix_2.mzML,pos,Urea,523676.5445693814
Nit,210813_Std_4uMStdsMix2InH2O_1.mzML,pos,Urea,37020.68971041682
Nit,210813_Std_4uMStdsMix2InH2O_2.mzML,pos,Urea,30497.452738399268
Nit,210813_Std_4uMStdsMix2InMatrix_1.mzML,pos,Urea,77969.82801429149
Nit,210813_Std_4uMStdsMix2InMatrix_2.mzML,pos,Urea,58842.85652593353
Nit,210813_Std_H2OInMatrix_1.mzML,pos,Urea,95512.96262101918
Nit,210813_Std_H2OInMatrix_2.mzML,pos,Urea,58688.4278459738
Amm,210916_Poo_TruePooAmm-wIS-Full_1.mzML,pos,Urea,107231.7693106469
Amm,210916_Poo_TruePooAmm-wIS-Full_2.mzML,pos,Urea,142654.4647835843
Amm,210916_Poo_TruePooAmm-wIS-Full_3.mzML,pos,Urea,64943.93401790387
Amm,210916_Poo_TruePooAmm-wIS-Full_4.mzML,pos,Urea,76778.63094821207
Amm,210916_Poo_TruePooAmm-wIS-Full_5.mzML,pos,Urea,92141.47962866366
Amm,210916_Poo_TruePooAmm-wIS-Half_1.mzML,pos,Urea,60465.97461991283
Amm,210916_Poo_TruePooAmm-wIS-Half_2.mzML,pos,Urea,94117.2634282965
Amm,210916_Poo_TruePooAmm-wIS-Half_3.mzML,pos,Urea,41432.3157465211
Amm,210916_Poo_TruePooAmm-wIS-Half_4.mzML,pos,Urea,45555.39162947811
Amm,210916_Poo_TruePooAmm-wIS-Half_5.mzML,pos,Urea,53718.873245971896
Amm,210916_Smp_Amm-Deep-Eve-T0-A-wIS.mzML,pos,Urea,88606.83036503162
Amm,210916_Smp_Amm-Deep-Eve-T0-B-wIS.mzML,pos,Urea,101133.83414770385
Amm,210916_Smp_Amm-Deep-Eve-T0-C-wIS.mzML,pos,Urea,179283.03666281642
Amm,210916_Smp_Amm-Deep-Eve-T1-A-wIS.mzML,pos,Urea,96307.48359581482
Amm,210916_Smp_Amm-Deep-Eve-T1-B-wIS.mzML,pos,Urea,76081.04206944596
Amm,210916_Smp_Amm-Deep-Eve-T1-C-wIS.mzML,pos,Urea,54619.03309021603
Amm,210916_Smp_Amm-Deep-Eve-T10-A-wIS.mzML,pos,Urea,211793.26003542656
Amm,210916_Smp_Amm-Deep-Eve-T10-B-wIS.mzML,pos,Urea,79323.76530902625
