filename,samp_type,amendment,timepoint,depth,tripl,startime,timestamp
240627_Blk_THAA_Blk_A.mzML,Blk,NA,NA,NA,A,NA,2024-06-27T21:08:49Z
240627_Blk_THAA_Blk_B.mzML,Blk,NA,NA,NA,B,NA,2024-06-27T21:19:25Z
240627_Blk_THAA_Blk_C.mzML,Blk,NA,NA,NA,C,NA,2024-06-27T21:30:05Z
240627_Poo_THAA-P1_A.mzML,Poo,NA,NA,NA,A,NA,2024-06-27T21:40:43Z
240627_Poo_THAA-P1_B.mzML,Poo,NA,NA,NA,B,NA,2024-06-28T02:58:24Z
240627_Poo_THAA-P1_C.mzML,Poo,NA,NA,NA,C,NA,2024-06-28T08:47:55Z
240627_Poo_THAA-P1_D.mzML,Poo,NA,NA,NA,A,NA,2024-06-28T14:17:14Z
240627_Poo_THAA-P1_E.mzML,Poo,NA,NA,NA,B,NA,2024-06-28T19:56:53Z
240627_Smp_Amm-Deep-Eve-T0-A.mzML,Smp,Amm,T0,Deep,A,Eve,2024-06-27T23:47:58Z
240627_Smp_Amm-Deep-Eve-T0-B.mzML,Smp,Amm,T0,Deep,B,Eve,2024-06-27T22:12:29Z
240627_Smp_Amm-Deep-Eve-T0-C.mzML,Smp,Amm,T0,Deep,C,Eve,2024-06-28T02:16:08Z
240627_Smp_Amm-Deep-Eve-T26-A.mzML,Smp,Amm,T26,Deep,A,Eve,2024-06-28T00:19:37Z
240627_Smp_Amm-Deep-Eve-T26-B.mzML,Smp,Amm,T26,Deep,B,Eve,2024-06-27T23:58:28Z
240627_Smp_Amm-Deep-Eve-T26-C.mzML,Smp,Amm,T26,Deep,C,Eve,2024-06-28T03:08:54Z
240627_Smp_Amm-Deep-Eve-T26-D.mzML,Smp,Amm,T26,Deep,A,Morn,2024-06-27T21:51:23Z
240627_Smp_Amm-Deep-Eve-T26-E.mzML,Smp,Amm,T26,Deep,B,Morn,2024-06-28T01:44:13Z
240627_Smp_Amm-Deep-Eve-T26-F.mzML,Smp,Amm,T26,Deep,C,Morn,2024-06-28T02:26:46Z
240627_Smp_Amm-Deep-Morn-T0-A.mzML,Smp,Amm,T0,Deep,A,Morn,2024-06-28T01:23:03Z
